date,state,crop,modal_price
2025-05-19,Gujarat,Coriander(Leaves),2200
2025-05-19,Gujarat,Bengal Gram(Gram)(Whole),5305
2025-05-19,Gujarat,Castor Seed,5500
2025-05-19,Gujarat,Paddy(Dhan)(Common),1700
2025-05-19,Gujarat,Paddy(Dhan)(Common),2500
2025-05-19,Gujarat,Mustard,5555
2025-05-19,Gujarat,Bajra(Pearl Millet/Cumbu),2400
2025-05-19,Gujarat,Bottle gourd,500
2025-05-19,Gujarat,Cucumbar(Kheera),1000
2025-05-19,Gujarat,Tomato,2000
2025-05-19,Gujarat,Bengal Gram(Gram)(Whole),5350
2025-05-19,Gujarat,Tomato,1000
2025-05-19,Gujarat,Arhar (Tur/Red Gram)(Whole),6055
2025-05-19,Gujarat,Bhindi(Ladies Finger),700
2025-05-19,Gujarat,Onion,150
2025-05-19,Gujarat,Tomato,1000
2025-05-19,Gujarat,Maize,1700
2025-05-19,Gujarat,Mango,1750
2025-05-19,Gujarat,Pointed gourd (Parval),2800
2025-05-19,Gujarat,Cauliflower,2500
2025-05-19,Gujarat,Onion,600
2025-05-19,Gujarat,Ridgeguard(Tori),3000
2025-05-19,Gujarat,Cummin Seed(Jeera),17900
2025-05-19,Gujarat,Green Gram (Moong)(Whole),8000
2025-05-19,Gujarat,"Sesamum(Sesame,Gingelly,Til)",7400
2025-05-19,Gujarat,Suva (Dill Seed),5000
2025-05-19,Gujarat,Bhindi(Ladies Finger),3000
2025-05-19,Gujarat,Carrot,2000
2025-05-19,Gujarat,Drumstick,1500
2025-05-19,Gujarat,Elephant Yam (Suran),4500
2025-05-19,Gujarat,Lemon,7500
2025-05-19,Gujarat,Tinda,4000
2025-05-19,Gujarat,Bottle gourd,500
2025-05-19,Gujarat,Coriander(Leaves),2000
2025-05-19,Gujarat,Ginger(Green),2500
2025-05-19,Gujarat,Little gourd (Kundru),1250
2025-05-19,Gujarat,Pointed gourd (Parval),4000
2025-05-19,Haryana,Mousambi(Sweet Lime),3500
2025-05-19,Haryana,Tomato,800
2025-05-19,Haryana,Brinjal,1000
2025-05-19,Haryana,Cauliflower,800
2025-05-19,Haryana,Potato,1000
2025-05-19,Haryana,Onion,1000
2025-05-19,Haryana,Potato,900
2025-05-19,Haryana,Chikoos(Sapota),2000
2025-05-19,Haryana,Cluster beans,3000
2025-05-19,Haryana,Coriander(Leaves),2000
2025-05-19,Haryana,Ginger(Green),3500
2025-05-19,Haryana,Spinach,1000
2025-05-19,Haryana,Bottle gourd,800
2025-05-19,Haryana,Tomato,400
